"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Condition","Measure ID","Measure Name","Score","Sample","Footnote","Start Date","End Date"
040780,EUREKA SPRINGS HOSPITAL COMMISSION,24 NORRIS STREET,EUREKA SPRINGS,AR,72632,CARROLL,(479) 253-7400,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,206,16,,07/01/2024,06/30/2025
040780,EUREKA SPRINGS HOSPITAL COMMISSION,24 NORRIS STREET,EUREKA SPRINGS,AR,72632,CARROLL,(479) 253-7400,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,242,36,,07/01/2024,06/30/2025
040781,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,72342,PHILLIPS,(870) 338-5800,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",136,388,,07/01/2024,06/30/2025
040781,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,72342,PHILLIPS,(870) 338-5800,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",122,332,,07/01/2024,06/30/2025
040781,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,72342,PHILLIPS,(870) 338-5800,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,212,16,,07/01/2024,06/30/2025
040781,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,72342,PHILLIPS,(870) 338-5800,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,335,41,,07/01/2024,06/30/2025
040782,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR,72370,MISSISSIPPI,(870) 563-7000,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",108,372,,07/01/2024,06/30/2025
040782,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR,72370,MISSISSIPPI,(870) 563-7000,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",97,307,,07/01/2024,06/30/2025
040782,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR,72370,MISSISSIPPI,(870) 563-7000,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,190,12,,07/01/2024,06/30/2025
040782,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR,72370,MISSISSIPPI,(870) 563-7000,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,258,56,,07/01/2024,06/30/2025
040783,"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,DE WITT,AR,72042,ARKANSAS,(870) 946-3571,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",137,63,3,07/01/2024,06/30/2025
040783,"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,DE WITT,AR,72042,ARKANSAS,(870) 946-3571,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",124,48,3,07/01/2024,06/30/2025
040783,"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,DE WITT,AR,72042,ARKANSAS,(870) 946-3571,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,"1, 3",07/01/2024,06/30/2025
040783,"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,DE WITT,AR,72042,ARKANSAS,(870) 946-3571,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,202,12,3,07/01/2024,06/30/2025
110779,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,OCILLA,GA,31774,IRWIN,(229) 468-3845,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",90,439,,07/01/2024,06/30/2025
110779,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,OCILLA,GA,31774,IRWIN,(229) 468-3845,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",87,420,,07/01/2024,06/30/2025
110779,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,OCILLA,GA,31774,IRWIN,(229) 468-3845,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,1,07/01/2024,06/30/2025
110779,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,OCILLA,GA,31774,IRWIN,(229) 468-3845,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,189,11,,07/01/2024,06/30/2025
130779,CASCADE MEDICAL CENTER,402 LAKE CASCADE PARKWAY,CASCADE,ID,83611,VALLEY,(208) 382-4242,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",Not Available,Not Available,5,07/01/2024,06/30/2025
130779,CASCADE MEDICAL CENTER,402 LAKE CASCADE PARKWAY,CASCADE,ID,83611,VALLEY,(208) 382-4242,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",Not Available,Not Available,5,07/01/2024,06/30/2025
130779,CASCADE MEDICAL CENTER,402 LAKE CASCADE PARKWAY,CASCADE,ID,83611,VALLEY,(208) 382-4242,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,5,07/01/2024,06/30/2025
130779,CASCADE MEDICAL CENTER,402 LAKE CASCADE PARKWAY,CASCADE,ID,83611,VALLEY,(208) 382-4242,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,5,07/01/2024,06/30/2025
170779,SCK HEALTH,6401 PATTERSON PARKWAY,ARKANSAS CITY,KS,67005,COWLEY,(620) 442-2500,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",100,330,,07/01/2024,06/30/2025
170779,SCK HEALTH,6401 PATTERSON PARKWAY,ARKANSAS CITY,KS,67005,COWLEY,(620) 442-2500,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",94,287,,07/01/2024,06/30/2025
170779,SCK HEALTH,6401 PATTERSON PARKWAY,ARKANSAS CITY,KS,67005,COWLEY,(620) 442-2500,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,142,17,,07/01/2024,06/30/2025
170779,SCK HEALTH,6401 PATTERSON PARKWAY,ARKANSAS CITY,KS,67005,COWLEY,(620) 442-2500,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,274,27,,07/01/2024,06/30/2025
170780,"MERCY HOSPITAL, INC",218 E PACK STREET,MOUNDRIDGE,KS,67107,MCPHERSON,(620) 345-6391,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",120,310,,07/01/2024,06/30/2025
170780,"MERCY HOSPITAL, INC",218 E PACK STREET,MOUNDRIDGE,KS,67107,MCPHERSON,(620) 345-6391,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",109,263,,07/01/2024,06/30/2025
170780,"MERCY HOSPITAL, INC",218 E PACK STREET,MOUNDRIDGE,KS,67107,MCPHERSON,(620) 345-6391,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,1,07/01/2024,06/30/2025
170780,"MERCY HOSPITAL, INC",218 E PACK STREET,MOUNDRIDGE,KS,67107,MCPHERSON,(620) 345-6391,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,200,41,,07/01/2024,06/30/2025
170781,RUSH COUNTY MEMORIAL HOSPITAL,801 LOCUST ST,LA CROSSE,KS,67548,RUSH,(785) 222-2545,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",102,254,,07/01/2024,06/30/2025
170781,RUSH COUNTY MEMORIAL HOSPITAL,801 LOCUST ST,LA CROSSE,KS,67548,RUSH,(785) 222-2545,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",90,220,,07/01/2024,06/30/2025
170781,RUSH COUNTY MEMORIAL HOSPITAL,801 LOCUST ST,LA CROSSE,KS,67548,RUSH,(785) 222-2545,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,1,07/01/2024,06/30/2025
170781,RUSH COUNTY MEMORIAL HOSPITAL,801 LOCUST ST,LA CROSSE,KS,67548,RUSH,(785) 222-2545,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,210,25,,07/01/2024,06/30/2025
180779,CRITTENDEN COMMUNITY HOSPITAL,520 WEST GUM STREET,MARION,KY,42064,CRITTENDEN,(270) 965-5281,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",112,230,3,07/01/2024,06/30/2025
180779,CRITTENDEN COMMUNITY HOSPITAL,520 WEST GUM STREET,MARION,KY,42064,CRITTENDEN,(270) 965-5281,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",105,217,3,07/01/2024,06/30/2025
180779,CRITTENDEN COMMUNITY HOSPITAL,520 WEST GUM STREET,MARION,KY,42064,CRITTENDEN,(270) 965-5281,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,"1, 3",07/01/2024,06/30/2025
180779,CRITTENDEN COMMUNITY HOSPITAL,520 WEST GUM STREET,MARION,KY,42064,CRITTENDEN,(270) 965-5281,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,"1, 3",07/01/2024,06/30/2025
180780,FLEMING COUNTY HOSPITAL,55 FOUNDATION DRIVE,FLEMINGSBURG,KY,41041,FLEMING,(606) 849-2351,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",Not Available,Not Available,5,07/01/2024,06/30/2025
180780,FLEMING COUNTY HOSPITAL,55 FOUNDATION DRIVE,FLEMINGSBURG,KY,41041,FLEMING,(606) 849-2351,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",Not Available,Not Available,5,07/01/2024,06/30/2025
180780,FLEMING COUNTY HOSPITAL,55 FOUNDATION DRIVE,FLEMINGSBURG,KY,41041,FLEMING,(606) 849-2351,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,5,07/01/2024,06/30/2025
180780,FLEMING COUNTY HOSPITAL,55 FOUNDATION DRIVE,FLEMINGSBURG,KY,41041,FLEMING,(606) 849-2351,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,5,07/01/2024,06/30/2025
190779,ASSUMPTION COMMUNITY HOSPITAL,135 HIGHWAY 402,NAPOLEONVILLE,LA,70390,ASSUMPTION,(985) 369-3600,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",88,401,,07/01/2024,06/30/2025
190779,ASSUMPTION COMMUNITY HOSPITAL,135 HIGHWAY 402,NAPOLEONVILLE,LA,70390,ASSUMPTION,(985) 369-3600,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",86,382,,07/01/2024,06/30/2025
190779,ASSUMPTION COMMUNITY HOSPITAL,135 HIGHWAY 402,NAPOLEONVILLE,LA,70390,ASSUMPTION,(985) 369-3600,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,180,19,,07/01/2024,06/30/2025
190779,ASSUMPTION COMMUNITY HOSPITAL,135 HIGHWAY 402,NAPOLEONVILLE,LA,70390,ASSUMPTION,(985) 369-3600,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,7,07/01/2024,06/30/2025
230779,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,MI,49091,ST. JOSEPH,(269) 651-7824,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",119,493,,07/01/2024,06/30/2025
230779,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,MI,49091,ST. JOSEPH,(269) 651-7824,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",60,171,,07/01/2024,06/30/2025
230779,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,MI,49091,ST. JOSEPH,(269) 651-7824,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,232,322,,07/01/2024,06/30/2025
230779,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,MI,49091,ST. JOSEPH,(269) 651-7824,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,7,07/01/2024,06/30/2025
240779,MAHNOMEN HEALTH CENTER,414 W JEFFERSON PO BOX 396,MAHNOMEN,MN,56557,MAHNOMEN,(218) 935-2511,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",97,248,,07/01/2024,06/30/2025
240779,MAHNOMEN HEALTH CENTER,414 W JEFFERSON PO BOX 396,MAHNOMEN,MN,56557,MAHNOMEN,(218) 935-2511,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",70,151,,07/01/2024,06/30/2025
240779,MAHNOMEN HEALTH CENTER,414 W JEFFERSON PO BOX 396,MAHNOMEN,MN,56557,MAHNOMEN,(218) 935-2511,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,184,72,,07/01/2024,06/30/2025
240779,MAHNOMEN HEALTH CENTER,414 W JEFFERSON PO BOX 396,MAHNOMEN,MN,56557,MAHNOMEN,(218) 935-2511,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,185,29,,07/01/2024,06/30/2025
250780,JEFFERSON COUNTY HOSPITAL,870 S MAIN,FAYETTE,MS,39069,JEFFERSON,(601) 786-3401,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",Not Available,Not Available,5,07/01/2024,06/30/2025
250780,JEFFERSON COUNTY HOSPITAL,870 S MAIN,FAYETTE,MS,39069,JEFFERSON,(601) 786-3401,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",Not Available,Not Available,5,07/01/2024,06/30/2025
250780,JEFFERSON COUNTY HOSPITAL,870 S MAIN,FAYETTE,MS,39069,JEFFERSON,(601) 786-3401,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,5,07/01/2024,06/30/2025
250780,JEFFERSON COUNTY HOSPITAL,870 S MAIN,FAYETTE,MS,39069,JEFFERSON,(601) 786-3401,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,5,07/01/2024,06/30/2025
250781,PANOLA MEDICAL CENTER,303 MEDICAL CENTER DRIVE,BATESVILLE,MS,38606,PANOLA,(662) 563-5611,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",112,207,3,07/01/2024,06/30/2025
250781,PANOLA MEDICAL CENTER,303 MEDICAL CENTER DRIVE,BATESVILLE,MS,38606,PANOLA,(662) 563-5611,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",99,173,3,07/01/2024,06/30/2025
250781,PANOLA MEDICAL CENTER,303 MEDICAL CENTER DRIVE,BATESVILLE,MS,38606,PANOLA,(662) 563-5611,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,356,12,3,07/01/2024,06/30/2025
250781,PANOLA MEDICAL CENTER,303 MEDICAL CENTER DRIVE,BATESVILLE,MS,38606,PANOLA,(662) 563-5611,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,348,27,3,07/01/2024,06/30/2025
250782,GREENE COUNTY HOSPITAL,1017 JACKSON STREET,LEAKESVILLE,MS,39451,GREENE,(601) 394-4135,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",116,52,3,07/01/2024,06/30/2025
250782,GREENE COUNTY HOSPITAL,1017 JACKSON STREET,LEAKESVILLE,MS,39451,GREENE,(601) 394-4135,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",100,50,3,07/01/2024,06/30/2025
250782,GREENE COUNTY HOSPITAL,1017 JACKSON STREET,LEAKESVILLE,MS,39451,GREENE,(601) 394-4135,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,"1, 3",07/01/2024,06/30/2025
250782,GREENE COUNTY HOSPITAL,1017 JACKSON STREET,LEAKESVILLE,MS,39451,GREENE,(601) 394-4135,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,Not Available,Not Available,"3, 7",07/01/2024,06/30/2025
250783,PERRY COUNTY GENERAL HOSPITAL,206 BAY ST,RICHTON,MS,39476,GREENE,(601) 788-6316,Emergency Department,REH_OP_18a,"Average (median) time all patients spent in the emergency department before leaving from the visit, including psychiatric/mental health patients and patients who were transferred to another facility. A lower number of minutes is better",85,397,,07/01/2024,06/30/2025
250783,PERRY COUNTY GENERAL HOSPITAL,206 BAY ST,RICHTON,MS,39476,GREENE,(601) 788-6316,Emergency Department,REH_OP_18b,"Average (median) time patients spent in the emergency department before leaving from the visit, excluding patients transferred to another facility or psychiatric care/mental health patients. A lower number of minutes is better",81,366,,07/01/2024,06/30/2025
250783,PERRY COUNTY GENERAL HOSPITAL,206 BAY ST,RICHTON,MS,39476,GREENE,(601) 788-6316,Emergency Department,REH_OP_18c,Average (median) time psychiatric/mental health patients spent in the emergency department before leaving from the visit. A lower number of minutes is better,Not Available,Not Available,1,07/01/2024,06/30/2025
250783,PERRY COUNTY GENERAL HOSPITAL,206 BAY ST,RICHTON,MS,39476,GREENE,(601) 788-6316,Emergency Department,REH_OP_18d,Average (median) time patients spent in the emergency department before being transferred to another facility. A lower number of minutes is better,184,27,,07/01/2024,06/30/2025
